Phosphate	Nitrate	Biomass	Carotene	Lutein
0.05	1.0	0.47536642784768696	1.4299831484325465	4.082796322389427
0.05	1.5	0.4771976644338477	1.4255720655009725	5.330297550403626
0.05	2.0	0.4790019708652147	1.4204226411427934	5.497105175369374
0.05	2.5	0.48073957320640176	1.397971129907742	5.087676749761688
0.05	3.0	0.4820817662181889	1.1718402875567515	4.546700734531617
0.05	3.5	0.48297424483307355	0.7288471956505151	4.108304151885379
0.05	4.0	0.4834396610314816	0.6704068673426092	3.845906402769032
0.05	4.5	0.48362804744156845	0.6673917976828955	3.7320040913885886
0.05	5.0	0.4836605148428512	0.666903613698654	3.7094245891501947
0.05	5.5	0.48366459228298087	0.6666757289173938	3.7077364348242523
0.05	6.0	0.4836667069012179	0.6665405325032887	3.7070818955772933
0.05	6.5	0.4836680677437988	0.6664532824348438	3.706747923126894
0.05	7.0	0.48366902911632464	0.6663936825737672	3.706560774778004
0.05	7.5	0.4836697477723064	0.6663512312072056	3.7064515755029013
0.05	8.0	0.48367030640340897	0.6663200007580835	3.7063873599649146
0.05	8.5	0.4836707534591714	0.6662964240842857	3.7063505424350423
0.05	9.0	0.48367111943464214	0.6662782450235667	3.7063310379001377
0.05	9.5	0.4836714245657043	0.6662639783492922	3.7063227530562504
0.05	10.0	0.48367168284187	0.6662526135479794	3.7063218582781317
0.05	10.5	0.4836719042585432	0.6662434437463642	3.706325871731894
0.05	11.0	0.48367209615276857	0.666235962613155	3.706333145684375
0.05	11.5	0.48367226403522445	0.6662297999479972	3.706342565069069
0.05	12.0	0.48367241212653816	0.6662246801830004	3.706353363952626
0.05	12.5	0.48367254371361923	0.6662203949168958	3.706365010259236
0.05	13.0	0.48367266139556236	0.6662167843092701	3.7063771314631326
0.05	13.5	0.48367276725290587	0.6662137242074029	3.7063894655824523
0.05	14.0	0.48367286297431583	0.666211117075041	3.7064018282258844
0.05	14.5	0.48367294994050725	0.6662088854942994	3.7064140900764553
0.05	15.0	0.4836730292934404	0.6662069674360189	3.706426161242056
0.1	1.0	0.7629546292684508	1.7775573941060245	2.5636917295668575
0.1	1.5	0.764676319731608	2.075681467237294	3.4289060584099995
0.1	2.0	0.7664677928048067	2.072110995252254	4.326362495958835
0.1	2.5	0.7683325934322872	2.0659423368964256	5.183137447615067
0.1	3.0	0.7697888622527598	2.0578465295746162	5.877014570226594
0.1	3.5	0.7709035578627095	2.0333771790572537	6.082321774666142
0.1	4.0	0.7720677624055409	1.9253898427635607	5.882725566998784
0.1	4.5	0.7730139288898735	1.5475916965107495	5.555689372350129
0.1	5.0	0.7737405232615022	1.0739273111374383	5.262374910990347
0.1	5.5	0.7742290598258619	0.938751891722392	5.053811004560598
0.1	6.0	0.7745418981580757	0.9205705780396581	4.930674392776595
0.1	6.5	0.7747248826460392	0.9179782507074622	4.874602418699461
0.1	7.0	0.7748119135071184	0.917423428458435	4.860103639762615
0.1	7.5	0.7748375217625295	0.9172034997079408	4.858007727053248
0.1	8.0	0.7748407752927201	0.9170724439968881	4.857434391880752
0.1	8.5	0.7748421032305994	0.9169809203762204	4.85714342575295
0.1	9.0	0.7748429334308548	0.9169136699725898	4.856975200449258
